url,title,description,category
https://surfit.io/link/p1DD0,슬기로운 코드 리뷰 생활 with GitHub Pull Request,"크롬 웹스토어에서 PR 관련 크롬 익스텐션 검색 결과Better Pull Request for GitHub 익스텐션 설치한 PR 화면크롬을 사용하는 경우, 크롬 웹스토어에 PR에 관련된 다양한 익스텐션이 존재합니다. 코드 리뷰의 생산성에 매우 큰 차이가 있기 때문에, 일단 하나 골라서 설치를 해봅시다!특히, PR의 파일들을 Tree View 형식으로 볼 수",Git
https://surfit.io/link/P1WmM,카카오웹툰은 GitHub Actions를 어떻게 사용하고 있을까?,"GitHub Actions의 도큐먼트를 보면 GitHub Actions는 CI/CD와 같은 workflow를 자동화 할 수 있는 도구라고 설명되어 있는데, 쉽게 말해 GitHub 내 어떤 이벤트(push, pull, merge ...)가 발생하면 해당 이벤트에 대해 정해진 동작을 실행하게 하는 도구라고 이해하시면 될 거 같아요.
GitHub Actions에",Git
https://surfit.io/link/llNNr,github actions로 버전 관리하기-릴리즈 노트편,"pull_request가 opened됐을 때 labeler-action을 사용해 라벨링을 한다.
이때, pull_request 제목에 feat가 들어갔다면 enhancement라는 라벨을 지정해준다.
pull_request가 main에 merge되었을 때 release drafter을 사용해 릴리즈 노트를 작성하도록 한다.
기본적으로 patch 버전을 올리",Git
https://surfit.io/link/BlzbO,GitHub Personal access token 생성 및 사용하기,"평상시처럼 Homebrew를 사용하여 search 명령어를 사용하였더니 위와 같은 경고 문구가 나타났습니다. 해당하는 정보들은 무리 없이 출력되었으나 서두에 나오는 경고 문구를 해결하기 위해 알아보기 시작하였습니다.

Warning: Error searching on GitHub: GitHub API Error: Bad credentialsThe GitHu",Git
https://surfit.io/link/N7Rj7,모두의 Github Actions 2편 - 공용 CI 머신에서 Secret 관리하기,"지난 글에서는 Jenkins에서 돌아가던 CI/CD 작업을 Github Actions로 옮긴 이유와, 개발자가 고민 없이 Actions를 쓰게 하기 위해 Actions Runner를 사용하는 패턴을 만드는 과정에 대해 소개했습니다.
지난 글의 핵심은 컨테이너를 이용하여 언제나 격리된 환경을 제공하면 관리가 용이한 CI 환경을 만들 수 있다는 것이었습니다.
",Git
https://surfit.io/link/P1prj,PR에 변경사항 쉽게 알아보게 쓰기,"내가 어떤 과정으로 왜 변경했는지 그 히스토리를 적는 것이 변경사항을 파악하는데(또는 설득하는데) 도움이 되었다.

예를 들어 버그 A가 있으면 A의 원인은 무엇인지, A를 해결하기 위해 어떤 과정을 거쳤는지 기록한다.
아래 예시는 코드 흐름에 따라 버그가 어떻게 생기는지 원인을 적었다.
예시 1.

혹은 어떤 이유로 변경하게 되었는지에 대한 사유를 as-",Git
https://surfit.io/link/VDGY1,리멤버에서 Pull Request 편리하게 사용하는 법,"리뷰어가 좀 더 쉽게 리뷰를 진행할 수 있도록 Pull Request에 작업 내용, 고민됐던 부분, 희망 리뷰 완료일 등 다양한 정보를 적고 있습니다. 이런 코드 리뷰 프로세스를 더 잘 정착시키고 효율적으로 진행할 수 있도록 리멤버의 서버 개발자들이 고민하고 적용했던 몇 가지 방법에 대해 공유하고자 합니다.



CODEOWNERS로 리뷰어 자동으로 지정하",Git
https://surfit.io/link/glDoM,CODE GURU REVIEWER를 사용하여 코드리뷰 받기,"안녕하세요. 리멤버 서버/웹 팀 서버 개발자 사승준입니다. 



얼마 전에 AWS에 CodeGuru라는 기능이 새롭게 나왔습니다. 



Amazon CodeGuru는 코드 품질을 높이고 애플리케이션에서 가장 비경제적인 코드 줄을 찾아낼 수 있도록 지원하는 권장 사항을 제공하는 지능형 개발자 도구입니다. CodeGuru 기능 안에서도 프로덕션에서 애플리케",Git
https://surfit.io/link/AZjJX,Git에서 원하는 커밋만 제거하기 (feat. SourceTree),"Git을 사용하다보면 특정 커밋들만 날리고 싶을때가 있습니다. 근데 하필 그게 한참 전 커밋들이거나, 중간 커밋들이면 reset으로 골라내기가 쉽지 않은데요. 이럴때 rebase interactively 를 사용하기가 좋습니다.
해결방법
예를 들어 아래와 같이 REC-296 커밋 2개를 모두 빼고 싶은 상황이라고 가정해봅니다.
그럼 그 직전 커밋을 선택합니",Git
https://surfit.io/link/3qpbv,"GitHub Actions, 커스텀 액션을 만들고 활용해보자","GitLab CI와 어떻게 다른지 살펴보고, GitHub Actions만의 특징을 활용한 응용법에 대하여 짚어 보겠습니다.Runner: GitLab CI vs GitHub Actions   GitLab CI와 GitHub Actions 둘 다 Runner를 기반으로 하여 CI/CD를 이루어 내는 도구입니다. 이는 CI/CD 도구라면 당연한 이야기입니다. 바",Git
